index,eps
2,0.106899159
3,0.018301198
4,0.062639853
5,0.159849545
6,0.067316666
7,0.00737586
8,0.032649314
9,0.003607488
10,0.024532025
11,0.010778137
12,0.006676489
13,0.018430536
14,0.015406066
15,0.005470105
16,0.009183483
17,0.004775921
18,0.008669515
19,0.110038995
20,0.026792249
21,0.004041544
22,0.014470758
23,0.004292077
24,0.002725788
25,0.020406329
26,0.032271428
27,0.002919753
28,0.015216762
29,0.014676175
30,0.018968314
31,0.010572579
32,0.033077336
33,0.011046277
34,0.005942891
35,0.006979317
36,0.025869788
37,0.048253585
38,0.027570734
39,0.001895372
40,0.006427238
41,0.015465405
42,0.002647155
43,0.053055689
44,0.004657731
45,0.0064152
46,0.004670743
47,0.003772476
48,0.019322723
49,0.009004274
50,0.004946196
51,0.004634122
52,0.004234058
53,0.006966334
54,0.073510639
55,0.003370775
56,0.046053802
57,0.001662449
58,0.002674404
59,0.005682917
60,0.000467396
61,0.046891844
62,0.046701456
63,0.006337588
64,0.002808483
65,0.004517123
66,0.007857009
67,0.000382552
68,0.001568228
69,0.004593819
70,0.002815483
71,0.003516224
72,0.006695311
73,0.002670713
74,0.002084782
75,0.007443502
76,0.007518194
77,0.007378011
78,0.007717025
79,0.002816347