index,eps
2,0.0062212941
3,0.1712019759
4,0.0700183543
5,0.0127338657 
6,0.0077446817
7,0.0103738617
8,0.0115725464
9,0.0214720054
10,0.1908753543
11,0.0426302705
12,0.0667632467
13,0.0193875324
14,0.0401458450
15,0.0034264977
16,0.0113073505
17,0.0056953690
18,0.0132465277
19,0.0032243284
20,0.0080158086
21,0.0094882517
22,0.0082161761
23,0.0051646040
24,0.0098758692
25,0.0041621262
26,0.0015737903
27,0.0043248028
28,0.0067701291
29,0.0130495096
30,0.0024740964
31,0.0085784879
32,0.0034669935
33,0.0026448871
34,0.0070885088
35,0.0005278369
36,0.0044549808
37,0.0035882327
38,0.0039189220
39,0.0287892394
40,0.0080088942
41,0.0103276545
42,0.0168991913
43,0.0051971957
44,0.0046897799
45,0.0026885698
46,0.0029790738
47,0.0031314049
48,0.0073851172
49,0.0058067258
50,0.0046644446
51,0.0030609285
52,0.0061455268
53,0.0046170346
54,0.0040082401
55,0.0020299091
56,0.0053254077
57,0.0008546553
58,0.0036853